Symbol	TestNum	SigNum	HarmonicP	SigProp	MR
otud4	3	2	0.00777629155810958	0.666666666666667	1473.35671173005
stk10	18	5	0.00956758461891345	0.277777777777778	1473.39607709536
slc2a12	9	1	0.00727059121121572	0.111111111111111	1473.6081568721
mrpl40	19	3	0.00816550386928304	0.157894736842105	1474.01119398735
zgc:194679	6	3	0.00816713373752577	0.5	1474.97491504093
foxq1a	18	5	0.00962287427744589	0.277777777777778	1478.39913419888
FO704661.1	14	5	0.00962571224083908	0.357142857142857	1478.78328364909
si:ch211-202f3.3	6	4	0.00883317864379814	0.666666666666667	1479.01521290351
dio1	5	2	0.00782372985326585	0.4	1480.20099986455
creld2	8	1	0.00731812322979116	0.125	1480.70422434732
chst6	13	5	0.00965861620061975	0.384615384615385	1481.85289418349
amer1	15	5	0.00966719184223221	0.333333333333333	1483.00236007904
acvr1ba	20	3	0.00823438461783833	0.15	1484.09905329799
prdx1	22	4	0.00888733168167726	0.181818181818182	1485.08922290885
si:dkey-261h17.1	12	5	0.00970477894315835	0.416666666666667	1486.44542449429
dennd2c	10	3	0.00824828950110698	0.3	1486.49083414598
mhc1lfa	2	1	0.00737083982052542	0.5	1486.59173951694
si:ch211-244o22.2	7	2	0.00786477296362878	0.285714285714286	1487.0137860827
ssx2ipa	8	3	0.00826747941113656	0.375	1487.92405720185
slc10a3	19	5	0.00973607888921665	0.263157894736842	1490.64281435896
slc45a4b	11	2	0.00789564558785802	0.181818181818182	1491.71210359104
otos	4	3	0.00828821107763006	0.75	1492.2154670154
bmp1a	19	4	0.00898104247714698	0.210526315789474	1492.86235132379
tlcd1	18	5	0.00976974695575999	0.277777777777778	1493.30773787589
glipr2	5	1	0.00740087721801735	0.2	1495.37955048208
efemp2a	2	1	0.00741645327226494	0.5	1496.54735975845
mbip	5	1	0.00741784019778825	0.2	1497.13092279867
setbp1	22	5	0.00980977385698422	0.227272727272727	1497.86514746822
foxq1b	12	2	0.00794219818242384	0.166666666666667	1497.95360408792
foxo3a	18	5	0.00981515950016097	0.277777777777778	1498.24430584601
acad11	4	2	0.00794931261538709	0.5	1499.50991994051
tbc1d10aa	23	5	0.00984188008337644	0.217391304347826	1501.65242316589
si:dkey-188i13.10	5	1	0.00744639606019732	0.2	1502.37278995594
txn	24	3	0.00836285888293536	0.125	1502.65398545374
wdr60	4	1	0.00746227016560448	0.25	1504.11601946126
ube2d1b	24	5	0.00987859567447366	0.208333333333333	1506.93861852432
rhbdd1	14	3	0.00839546108560274	0.214285714285714	1507.37487042872
rtcb	16	5	0.00989251222655999	0.3125	1509.19846276095
sf3b2	24	5	0.00990329323150022	0.208333333333333	1509.95099258221
samsn1a	7	3	0.00844149102814641	0.428571428571429	1512.081016348
map4k5	24	5	0.00993594486336422	0.208333333333333	1512.95736886404
cremb	15	5	0.00994216113520244	0.333333333333333	1513.70802997143
fn1a	14	4	0.00909947570108055	0.285714285714286	1515.51839315793
anxa4	24	5	0.00997393763210987	0.208333333333333	1515.95778305334
ponzr3	7	3	0.00847036205513064	0.428571428571429	1517.24091692783
eevs	6	3	0.00847354506875324	0.5	1517.70912891766
sar1ab	4	1	0.00756198257513584	0.25	1520.8642279967
eno1a	24	3	0.0084832102400973	0.125	1520.98257715202
nudt4a	19	4	0.00914844793349465	0.210526315789474	1521.02399718085
cdab	5	2	0.00802742107875612	0.4	1521.64220498776
col2a1a	14	3	0.00849524022053905	0.214285714285714	1522.84995977936
si:ch211-241j12.3	2	1	0.00758793998153084	0.5	1523.73324437055
ppfibp2b	9	2	0.00805888324256059	0.222222222222222	1524.19486943107
hmgcs1	15	4	0.00918291004838783	0.266666666666667	1526.08846401511
im:7150988	11	4	0.00918487354940134	0.363636363636364	1526.50974448249
pi4k2b	16	4	0.00919008543888447	0.25	1526.93090871853
anpepb	4	3	0.00855169768505142	0.75	1527.04322139224
igfbp2a	6	2	0.00808121827790209	0.333333333333333	1527.25243493013
gipc2	24	4	0.00919208967748924	0.166666666666667	1527.35195681938
rap1gap2a	4	2	0.0081108642841824	0.5	1531.31969229159
ncdn	17	4	0.00922566700647233	0.235294117647059	1532.39551030405
dcun1d1	19	4	0.00923062127591646	0.210526315789474	1532.81505733732
cnot11	10	2	0.00811801203988175	0.2	1532.8421314669
rgl1	23	3	0.00862240975727467	0.130434782608696	1533.07990659326
dnase2	2	1	0.00766132104358893	0.5	1537.42999840643
fam83hb	13	4	0.00928811349201468	0.307692307692308	1537.8406939602
xirp2a	15	3	0.00867917196299928	0.2	1539.09291467409
nr2c2ap	2	1	0.00768442705189032	0.5	1540.83516315017
chd1l	12	3	0.00868898085553329	0.25	1540.93835048648
si:zfos-2330d3.7.1	4	2	0.00816526172075896	0.5	1541.44088436761
ctbp2a	23	4	0.00931672860016051	0.173913043478261	1542.43314279744
slc25a44b	18	4	0.00932516014843101	0.222222222222222	1543.68325766655
prkdc	10	2	0.00818002402047788	0.2	1543.96081556495
foxa3	6	3	0.00871829593487248	0.5	1544.16255620968
pik3r6a	2	1	0.00769626029177036	0.5	1545.92884700429
ezh2	11	2	0.00820078277874062	0.181818181818182	1546.47664062539
cry4	10	3	0.0087621774665243	0.3	1547.83913892885
txndc15	24	4	0.00937097909046095	0.166666666666667	1549.91870754566
crtc1a	10	1	0.00771874948847292	0.1	1550.44251747687
uchl1	6	2	0.00823206757871899	0.333333333333333	1550.99484202882
c3a.3	2	2	0.00823426400223344	1	1551.99710051276
lamb1a	2	1	0.00772597647584024	0.5	1552.13175987092
si:dkey-105h12.2	2	1	0.00772597647584024	0.5	1552.13175987092
zgc:174259	2	1	0.00772597647584024	0.5	1552.13175987092
ftr97.1	3	2	0.0082463399385815	0.666666666666667	1553.99967824964
si:dkey-30c15.2	7	4	0.00943297053556921	0.571428571428571	1554.88906356692
atp23	13	3	0.0088819745612093	0.230769230769231	1559.72818144701
si:dkey-11f4.16	13	2	0.00828318711914175	0.153846153846154	1559.99198715891
fam49al	6	2	0.00829815264136173	0.333333333333333	1561.98431490204
wars1	8	4	0.00955913557890481	0.5	1565.6040367858
si:ch211-230g15.5	13	4	0.00956036299142658	0.307692307692308	1566.42522962317
tspan15	21	3	0.00894393870476705	0.142857142857143	1566.54620104228
cgna	12	4	0.00956316284188624	0.333333333333333	1566.83566464387
eif4ea	16	4	0.00957499800018794	0.25	1568.4763307108
pla2g12a	10	4	0.00958080648164765	0.4	1568.88622914474
